Airport,Terminal,Date,Hour,All Passengers Average Wait Time,All Passengers Max Wait Time,Number of Passengers,Number of Flights,Number of Booths
GUM,Main Terminal,12/20/2017,0100 - 0200,22,59,794,4,10
GUM,Main Terminal,12/20/2017,0200 - 0300,54,90,565,3,11
GUM,Main Terminal,12/20/2017,0300 - 0400,35,57,267,2,11
GUM,Main Terminal,12/20/2017,0400 - 0500,5,13,68,1,10
GUM,Main Terminal,12/20/2017,0600 - 0700,7,27,192,2,5
GUM,Main Terminal,12/20/2017,1300 - 1400,15,29,325,2,12
GUM,Main Terminal,12/20/2017,1400 - 1500,17,46,546,2,20
GUM,Main Terminal,12/20/2017,1500 - 1600,29,76,1036,6,20
GUM,Main Terminal,12/20/2017,1600 - 1700,42,84,575,3,16
GUM,Main Terminal,12/20/2017,2200 - 2300,5,18,158,1,4
GUM,Main Terminal,12/21/2017,0000 - 0100,15,25,188,1,13
GUM,Main Terminal,12/21/2017,0100 - 0200,13,33,362,2,13
GUM,Main Terminal,12/21/2017,0200 - 0300,13,30,561,2,13
GUM,Main Terminal,12/21/2017,0300 - 0400,41,79,823,5,12
GUM,Main Terminal,12/21/2017,0400 - 0500,13,40,283,3,10
GUM,Main Terminal,12/21/2017,0700 - 0800,17,42,115,1,5
GUM,Main Terminal,12/21/2017,1000 - 1100,20,50,120,1,4
GUM,Main Terminal,12/21/2017,1300 - 1400,12,22,177,1,11
GUM,Main Terminal,12/21/2017,1400 - 1500,5,13,193,1,16
GUM,Main Terminal,12/21/2017,1500 - 1600,59,166,1895,8,18
GUM,Main Terminal,12/21/2017,1600 - 1700,77,142,82,1,11
GUM,Main Terminal,12/21/2017,1700 - 1800,33,82,151,1,9
GUM,Main Terminal,12/21/2017,2200 - 2300,14,46,166,1,5
GUM,Main Terminal,12/22/2017,0000 - 0100,26,69,183,1,10
GUM,Main Terminal,12/22/2017,0100 - 0200,42,93,589,3,10
GUM,Main Terminal,12/22/2017,0200 - 0300,37,73,486,3,10
GUM,Main Terminal,12/22/2017,0300 - 0400,49,94,425,3,11
GUM,Main Terminal,12/22/2017,0400 - 0500,11,33,225,2,9
GUM,Main Terminal,12/22/2017,0500 - 0600,24,39,183,1,11
GUM,Main Terminal,12/22/2017,0600 - 0700,10,22,89,1,8
GUM,Main Terminal,12/22/2017,1200 - 1300,11,21,178,1,12
GUM,Main Terminal,12/22/2017,1300 - 1400,11,22,138,1,13
GUM,Main Terminal,12/22/2017,1400 - 1500,29,64,951,3,21
GUM,Main Terminal,12/22/2017,1500 - 1600,34,66,894,4,21
GUM,Main Terminal,12/22/2017,1600 - 1700,32,60,312,2,17
GUM,Main Terminal,12/22/2017,1700 - 1800,6,16,222,2,12
GUM,Main Terminal,12/22/2017,2200 - 2300,11,25,165,1,4
GUM,Main Terminal,12/22/2017,2300 - 0000,23,41,187,1,9
GUM,Main Terminal,12/23/2017,0000 - 0100,7,15,123,1,10
GUM,Main Terminal,12/23/2017,0100 - 0200,29,73,646,2,10
GUM,Main Terminal,12/23/2017,0200 - 0300,41,70,553,3,10
GUM,Main Terminal,12/23/2017,0300 - 0400,25,58,353,2,10
GUM,Main Terminal,12/23/2017,0600 - 0700,14,39,353,3,9
GUM,Main Terminal,12/23/2017,1000 - 1100,14,27,121,1,6
GUM,Main Terminal,12/23/2017,1300 - 1400,11,21,179,1,11
GUM,Main Terminal,12/23/2017,1400 - 1500,8,21,340,2,18
GUM,Main Terminal,12/23/2017,1500 - 1600,5,17,628,4,22
GUM,Main Terminal,12/23/2017,1600 - 1700,4,15,458,2,22
GUM,Main Terminal,12/23/2017,1700 - 1800,15,35,543,2,11
GUM,Main Terminal,12/23/2017,1800 - 1900,35,70,407,2,9
GUM,Main Terminal,12/23/2017,1900 - 2000,19,38,159,1,9
GUM,Main Terminal,12/23/2017,2100 - 2200,29,78,192,1,7
GUM,Main Terminal,12/23/2017,2200 - 2300,18,53,174,1,7
GUM,Main Terminal,12/24/2017,0000 - 0100,7,28,112,1,10
GUM,Main Terminal,12/24/2017,0100 - 0200,15,37,533,2,10
GUM,Main Terminal,12/24/2017,0200 - 0300,6,23,137,1,10
GUM,Main Terminal,12/24/2017,0300 - 0400,23,62,525,3,10
GUM,Main Terminal,12/24/2017,0400 - 0500,15,38,410,3,10
GUM,Main Terminal,12/24/2017,0600 - 0700,22,57,308,2,8
GUM,Main Terminal,12/24/2017,0700 - 0800,30,44,188,1,11
GUM,Main Terminal,12/24/2017,0900 - 1000,67,134,454,2,5
GUM,Main Terminal,12/24/2017,1200 - 1300,13,26,199,1,9
GUM,Main Terminal,12/24/2017,1400 - 1500,8,17,195,1,16
GUM,Main Terminal,12/24/2017,1500 - 1600,10,25,760,5,16
GUM,Main Terminal,12/24/2017,1600 - 1700,3,9,111,1,16
GUM,Main Terminal,12/24/2017,1700 - 1800,16,33,393,1,12
GUM,Main Terminal,12/24/2017,1800 - 1900,9,19,188,1,12
GUM,Main Terminal,12/24/2017,2000 - 2100,30,60,353,1,6
GUM,Main Terminal,12/24/2017,2100 - 2200,17,40,168,1,4
GUM,Main Terminal,12/24/2017,2200 - 2300,59,95,153,1,5
GUM,Main Terminal,12/25/2017,0100 - 0200,7,18,168,1,9
GUM,Main Terminal,12/25/2017,0200 - 0300,22,52,181,1,9
GUM,Main Terminal,12/25/2017,0300 - 0400,63,140,844,5,9
GUM,Main Terminal,12/25/2017,0400 - 0500,42,98,272,3,7
GUM,Main Terminal,12/25/2017,0600 - 0700,29,71,250,2,9
GUM,Main Terminal,12/25/2017,0700 - 0800,36,58,371,2,10
GUM,Main Terminal,12/25/2017,1200 - 1300,14,25,181,1,10
GUM,Main Terminal,12/25/2017,1400 - 1500,7,15,201,1,18
GUM,Main Terminal,12/25/2017,1500 - 1600,16,42,860,4,19
GUM,Main Terminal,12/25/2017,1600 - 1700,19,40,670,4,19
GUM,Main Terminal,12/25/2017,1700 - 1800,1,3,9,1,5
GUM,Main Terminal,12/25/2017,1800 - 1900,12,28,523,2,13
GUM,Main Terminal,12/25/2017,2200 - 2300,4,15,170,1,7
GUM,Main Terminal,12/26/2017,0000 - 0100,12,30,248,1,11
GUM,Main Terminal,12/26/2017,0100 - 0200,23,61,822,4,11
GUM,Main Terminal,12/26/2017,0200 - 0300,20,43,367,2,11
GUM,Main Terminal,12/26/2017,0300 - 0400,10,20,114,1,10
GUM,Main Terminal,12/26/2017,0400 - 0500,6,16,137,2,10
GUM,Main Terminal,12/26/2017,0600 - 0700,27,57,301,2,7
GUM,Main Terminal,12/26/2017,0900 - 1000,16,47,150,1,3
GUM,Main Terminal,12/26/2017,1100 - 1200,21,36,162,1,8
GUM,Main Terminal,12/26/2017,1200 - 1300,23,36,178,1,9
GUM,Main Terminal,12/26/2017,1300 - 1400,9,25,128,1,9
GUM,Main Terminal,12/26/2017,1400 - 1500,10,22,194,1,16
GUM,Main Terminal,12/26/2017,1500 - 1600,28,68,1657,6,21
GUM,Main Terminal,12/26/2017,1600 - 1700,17,54,569,4,17
GUM,Main Terminal,12/26/2017,1700 - 1800,3,11,101,1,13
GUM,Main Terminal,12/26/2017,2100 - 2200,12,29,169,1,6
GUM,Main Terminal,12/26/2017,2300 - 0000,12,26,187,1,10
GUM,Main Terminal,12/27/2017,0000 - 0100,13,32,276,2,13
GUM,Main Terminal,12/27/2017,0100 - 0200,29,65,938,4,13
GUM,Main Terminal,12/27/2017,0200 - 0300,20,28,35,1,9
GUM,Main Terminal,12/27/2017,0300 - 0400,16,39,507,3,13
GUM,Main Terminal,12/27/2017,0600 - 0700,7,19,213,2,7
GUM,Main Terminal,12/27/2017,1200 - 1300,9,20,127,1,11
GUM,Main Terminal,12/27/2017,1300 - 1400,9,19,133,1,11
GUM,Main Terminal,12/27/2017,1400 - 1500,26,53,551,2,21
GUM,Main Terminal,12/27/2017,1500 - 1600,35,74,1443,7,21
GUM,Main Terminal,12/27/2017,1600 - 1700,35,57,288,2,16
GUM,Main Terminal,12/27/2017,2200 - 2300,8,23,170,1,6
GUM,Main Terminal,12/27/2017,2300 - 0000,16,26,176,1,13
GUM,Main Terminal,12/28/2017,0100 - 0200,25,66,885,4,13
GUM,Main Terminal,12/28/2017,0200 - 0300,36,58,380,3,13
GUM,Main Terminal,12/28/2017,0300 - 0400,14,27,153,1,12
GUM,Main Terminal,12/28/2017,0400 - 0500,12,36,569,4,13
GUM,Main Terminal,12/28/2017,0600 - 0700,10,24,90,1,8
GUM,Main Terminal,12/28/2017,0900 - 1000,18,35,136,1,6
GUM,Main Terminal,12/28/2017,1100 - 1200,15,34,161,1,5
GUM,Main Terminal,12/28/2017,1200 - 1300,8,15,154,1,15
GUM,Main Terminal,12/28/2017,1400 - 1500,20,44,831,3,23
GUM,Main Terminal,12/28/2017,1500 - 1600,22,53,1254,6,23
GUM,Main Terminal,12/28/2017,1600 - 1700,18,37,207,2,18
GUM,Main Terminal,12/28/2017,1700 - 1800,7,14,112,1,15
GUM,Main Terminal,12/28/2017,1800 - 1900,1,3,8,1,4
GUM,Main Terminal,12/28/2017,2200 - 2300,9,26,166,1,5
GUM,Main Terminal,12/28/2017,2300 - 0000,18,32,151,1,9
GUM,Main Terminal,12/29/2017,0000 - 0100,22,60,456,2,15
GUM,Main Terminal,12/29/2017,0100 - 0200,26,61,657,3,15
GUM,Main Terminal,12/29/2017,0200 - 0300,31,61,444,3,15
GUM,Main Terminal,12/29/2017,0300 - 0400,57,110,492,3,11
GUM,Main Terminal,12/29/2017,0400 - 0500,22,76,444,3,11
GUM,Main Terminal,12/29/2017,0600 - 0700,10,22,85,1,9
GUM,Main Terminal,12/29/2017,1200 - 1300,9,17,131,1,11
GUM,Main Terminal,12/29/2017,1300 - 1400,11,24,309,2,13
GUM,Main Terminal,12/29/2017,1400 - 1500,10,31,521,2,20
GUM,Main Terminal,12/29/2017,1500 - 1600,41,81,1610,7,20
GUM,Main Terminal,12/29/2017,1600 - 1700,38,60,285,2,14
GUM,Main Terminal,12/29/2017,1700 - 1800,4,9,105,1,12
GUM,Main Terminal,12/29/2017,2100 - 2200,27,62,169,1,7
GUM,Main Terminal,12/29/2017,2300 - 0000,16,29,157,1,9
GUM,Main Terminal,12/30/2017,0100 - 0200,27,68,1137,5,13
GUM,Main Terminal,12/30/2017,0200 - 0300,65,142,1102,5,15
GUM,Main Terminal,12/30/2017,0300 - 0400,89,131,483,2,13
GUM,Main Terminal,12/30/2017,0400 - 0500,14,58,154,1,7
GUM,Main Terminal,12/30/2017,0600 - 0700,10,31,380,3,8
GUM,Main Terminal,12/30/2017,1000 - 1100,15,31,128,1,3
GUM,Main Terminal,12/30/2017,1100 - 1200,23,45,167,1,10
GUM,Main Terminal,12/30/2017,1300 - 1400,18,39,427,3,10
GUM,Main Terminal,12/30/2017,1400 - 1500,42,92,1064,4,19
GUM,Main Terminal,12/30/2017,1500 - 1600,73,143,1538,8,21
GUM,Main Terminal,12/30/2017,1600 - 1700,74,120,250,3,14
GUM,Main Terminal,12/30/2017,1700 - 1800,21,41,129,1,10
GUM,Main Terminal,12/30/2017,2200 - 2300,7,29,171,1,8
GUM,Main Terminal,12/30/2017,2300 - 0000,15,27,172,1,9
GUM,Main Terminal,12/31/2017,0000 - 0100,9,21,158,1,15
GUM,Main Terminal,12/31/2017,0100 - 0200,20,47,831,4,15
GUM,Main Terminal,12/31/2017,0200 - 0300,39,89,948,5,15
GUM,Main Terminal,12/31/2017,0300 - 0400,58,110,513,3,11
GUM,Main Terminal,12/31/2017,0400 - 0500,20,51,278,2,9
GUM,Main Terminal,12/31/2017,0500 - 0600,40,67,139,1,6
GUM,Main Terminal,12/31/2017,0600 - 0700,12,31,96,1,6
GUM,Main Terminal,12/31/2017,1300 - 1400,11,20,148,1,10
GUM,Main Terminal,12/31/2017,1400 - 1500,15,43,577,3,20
GUM,Main Terminal,12/31/2017,1500 - 1600,38,72,1462,7,21
GUM,Main Terminal,12/31/2017,1600 - 1700,47,74,579,4,17
GUM,Main Terminal,12/31/2017,2200 - 2300,9,22,164,1,5
GUM,Main Terminal,12/31/2017,2300 - 0000,28,50,155,1,7
GUM,Main Terminal,1/1/2018,0000 - 0100,15,39,384,3,12
GUM,Main Terminal,1/1/2018,0100 - 0200,15,34,590,3,11
GUM,Main Terminal,1/1/2018,0200 - 0300,22,61,406,3,10
GUM,Main Terminal,1/1/2018,0300 - 0400,34,79,255,2,8
GUM,Main Terminal,1/1/2018,0400 - 0500,21,59,314,3,6
GUM,Main Terminal,1/1/2018,0600 - 0700,4,9,17,1,3
GUM,Main Terminal,1/1/2018,1100 - 1200,12,32,124,1,4
GUM,Main Terminal,1/1/2018,1200 - 1300,10,18,134,1,10
GUM,Main Terminal,1/1/2018,1300 - 1400,15,24,149,1,10
GUM,Main Terminal,1/1/2018,1400 - 1500,20,48,774,3,22
GUM,Main Terminal,1/1/2018,1500 - 1600,23,43,1036,7,22
GUM,Main Terminal,1/1/2018,1600 - 1700,14,27,259,2,22
GUM,Main Terminal,1/1/2018,1700 - 1800,4,11,89,1,12
GUM,Main Terminal,1/1/2018,2100 - 2200,0,4,112,1,7
GUM,Main Terminal,1/1/2018,2300 - 0000,39,58,160,1,7
GUM,Main Terminal,1/2/2018,0000 - 0100,16,40,431,3,11
GUM,Main Terminal,1/2/2018,0100 - 0200,16,39,573,3,11
GUM,Main Terminal,1/2/2018,0200 - 0300,14,32,167,1,8
GUM,Main Terminal,1/2/2018,0300 - 0400,19,39,187,1,8
GUM,Main Terminal,1/2/2018,0400 - 0500,10,29,467,3,9
GUM,Main Terminal,1/2/2018,0600 - 0700,4,17,68,1,6
GUM,Main Terminal,1/2/2018,1000 - 1100,16,31,167,1,6
GUM,Main Terminal,1/2/2018,1200 - 1300,14,26,169,1,10
GUM,Main Terminal,1/2/2018,1300 - 1400,5,12,90,1,10
GUM,Main Terminal,1/2/2018,1400 - 1500,24,48,911,3,22
GUM,Main Terminal,1/2/2018,1500 - 1600,33,71,1395,7,22
GUM,Main Terminal,1/2/2018,1600 - 1700,32,49,259,2,17
GUM,Main Terminal,1/2/2018,1700 - 1800,10,18,130,1,13
GUM,Main Terminal,1/2/2018,2200 - 2300,5,18,171,1,7
GUM,Main Terminal,1/2/2018,2300 - 0000,35,49,176,1,9
GUM,Main Terminal,1/3/2018,0000 - 0100,24,52,333,2,11
GUM,Main Terminal,1/3/2018,0100 - 0200,28,58,667,3,11
GUM,Main Terminal,1/3/2018,0200 - 0300,42,77,470,3,11
GUM,Main Terminal,1/3/2018,0300 - 0400,33,85,380,2,8
GUM,Main Terminal,1/3/2018,0500 - 0600,8,21,112,1,6
GUM,Main Terminal,1/3/2018,0600 - 0700,12,29,155,1,6
GUM,Main Terminal,1/3/2018,1200 - 1300,11,22,195,1,12
GUM,Main Terminal,1/3/2018,1300 - 1400,7,17,125,1,12
GUM,Main Terminal,1/3/2018,1400 - 1500,15,32,573,2,19
GUM,Main Terminal,1/3/2018,1500 - 1600,37,87,1347,7,20
GUM,Main Terminal,1/3/2018,1600 - 1700,51,87,686,3,13
GUM,Main Terminal,1/3/2018,2200 - 2300,6,20,170,1,5
GUM,Main Terminal,1/3/2018,2300 - 0000,14,27,175,1,10
GUM,Main Terminal,1/4/2018,0000 - 0100,17,51,519,3,13
GUM,Main Terminal,1/4/2018,0100 - 0200,31,54,709,3,13
GUM,Main Terminal,1/4/2018,0200 - 0300,24,49,334,2,12
GUM,Main Terminal,1/4/2018,0300 - 0400,32,50,363,2,12
GUM,Main Terminal,1/4/2018,0400 - 0500,11,34,486,3,12
GUM,Main Terminal,1/4/2018,0600 - 0700,8,25,67,1,7
GUM,Main Terminal,1/4/2018,0900 - 1000,14,31,159,1,5
GUM,Main Terminal,1/4/2018,1100 - 1200,14,31,145,1,6
GUM,Main Terminal,1/4/2018,1200 - 1300,10,20,188,1,13
GUM,Main Terminal,1/4/2018,1400 - 1500,20,49,914,3,23
GUM,Main Terminal,1/4/2018,1500 - 1600,32,70,1174,6,24
GUM,Main Terminal,1/4/2018,1600 - 1700,22,35,279,2,24
GUM,Main Terminal,1/4/2018,1700 - 1800,3,12,144,1,15
GUM,Main Terminal,1/4/2018,2200 - 2300,6,17,149,1,5
GUM,Main Terminal,1/4/2018,2300 - 0000,16,33,153,1,6
GUM,Main Terminal,1/5/2018,0000 - 0100,4,11,186,2,16
GUM,Main Terminal,1/5/2018,0100 - 0200,29,62,997,5,16
GUM,Main Terminal,1/5/2018,0200 - 0300,20,51,473,3,12
GUM,Main Terminal,1/5/2018,0300 - 0400,23,50,387,2,12
GUM,Main Terminal,1/5/2018,0400 - 0500,11,26,285,2,12
GUM,Main Terminal,1/5/2018,0500 - 0600,11,20,54,1,8
GUM,Main Terminal,1/5/2018,1200 - 1300,20,29,176,1,13
GUM,Main Terminal,1/5/2018,1300 - 1400,9,20,145,1,14
GUM,Main Terminal,1/5/2018,1500 - 1600,34,73,1714,8,25
GUM,Main Terminal,1/5/2018,1600 - 1700,22,39,263,2,14
GUM,Main Terminal,1/5/2018,1700 - 1800,2,7,101,1,14
GUM,Main Terminal,1/5/2018,2200 - 2300,17,41,167,1,6
GUM,Main Terminal,1/5/2018,2300 - 0000,16,27,154,1,10
GUM,Main Terminal,1/6/2018,0000 - 0100,7,15,182,2,13
GUM,Main Terminal,1/6/2018,0100 - 0200,26,57,873,4,13
GUM,Main Terminal,1/6/2018,0200 - 0300,16,28,180,1,10
GUM,Main Terminal,1/6/2018,0300 - 0400,15,31,175,1,10
GUM,Main Terminal,1/6/2018,0400 - 0500,10,20,199,1,10
GUM,Main Terminal,1/6/2018,0600 - 0700,5,25,230,2,5
GUM,Main Terminal,1/6/2018,1000 - 1100,21,49,176,1,3
GUM,Main Terminal,1/6/2018,1100 - 1200,20,35,104,1,3
GUM,Main Terminal,1/6/2018,1200 - 1300,16,30,178,1,9
GUM,Main Terminal,1/6/2018,1300 - 1400,15,29,125,1,9
GUM,Main Terminal,1/6/2018,1400 - 1500,28,64,946,4,20
GUM,Main Terminal,1/6/2018,1500 - 1600,49,97,1000,5,21
GUM,Main Terminal,1/6/2018,1600 - 1700,36,81,446,3,12
GUM,Main Terminal,1/6/2018,1800 - 1900,7,18,157,1,11
GUM,Main Terminal,1/6/2018,2200 - 2300,6,24,169,1,3
GUM,Main Terminal,1/6/2018,2300 - 0000,30,44,178,1,10
GUM,Main Terminal,1/7/2018,0000 - 0100,5,10,115,1,14
GUM,Main Terminal,1/7/2018,0100 - 0200,17,35,1030,5,15
GUM,Main Terminal,1/7/2018,0200 - 0300,29,70,483,3,11
GUM,Main Terminal,1/7/2018,0300 - 0400,27,45,187,1,11
GUM,Main Terminal,1/7/2018,0400 - 0500,11,28,510,3,11
GUM,Main Terminal,1/7/2018,0600 - 0700,5,21,107,1,8
GUM,Main Terminal,1/7/2018,1300 - 1400,14,24,181,1,13
GUM,Main Terminal,1/7/2018,1400 - 1500,2,7,42,1,10
GUM,Main Terminal,1/7/2018,1500 - 1600,30,73,1759,9,21
GUM,Main Terminal,1/7/2018,1600 - 1700,39,85,621,4,18
GUM,Main Terminal,1/7/2018,2200 - 2300,5,17,170,1,5
GUM,Main Terminal,1/7/2018,2300 - 0000,19,32,175,1,9
ATL,Concourse E,12/14/2017,0500 - 0600,19,97,1385,6,14
ATL,Concourse E,12/14/2017,0700 - 0800,1,18,289,1,10
ATL,Concourse E,12/14/2017,0900 - 1000,23,56,304,2,9
ATL,Concourse E,12/14/2017,1000 - 1100,4,19,100,2,5
ATL,Concourse E,12/14/2017,1100 - 1200,4,22,187,2,6
ATL,Concourse E,12/14/2017,1200 - 1300,10,43,569,4,10
ATL,Concourse E,12/14/2017,1300 - 1400,6,35,349,2,12
ATL,Concourse E,12/14/2017,1400 - 1500,8,80,1383,7,18
ATL,Concourse E,12/14/2017,1500 - 1600,24,158,1420,8,14
ATL,Concourse E,12/14/2017,1600 - 1700,14,101,806,5,10
