Airport,Terminal,Date,Hour,All Passengers Average Wait Time,All Passengers Max Wait Time,Number of Passengers,Number of Flights,Number of Booths
FLL,Terminal 1,12/30/2017,1100 - 1200,2,7,17,1,3
FLL,Terminal 1,12/30/2017,1200 - 1300,5,13,118,3,3
FLL,Terminal 1,12/30/2017,1300 - 1400,9,41,248,3,5
FLL,Terminal 1,12/30/2017,1400 - 1500,18,34,200,3,6
FLL,Terminal 1,12/30/2017,1500 - 1600,15,34,124,2,4
FLL,Terminal 1,12/30/2017,1600 - 1700,13,47,538,4,6
FLL,Terminal 1,12/30/2017,1700 - 1800,9,44,135,3,4
FLL,Terminal 1,12/30/2017,1800 - 1900,18,54,422,4,4
FLL,Terminal 1,12/30/2017,1900 - 2000,6,23,133,2,3
FLL,Terminal 4,12/30/2017,0500 - 0600,45,152,1386,7,13
FLL,Terminal 4,12/30/2017,0600 - 0700,56,139,142,1,9
FLL,Terminal 4,12/30/2017,0700 - 0800,45,109,131,1,10
FLL,Terminal 4,12/30/2017,0800 - 0900,21,77,291,2,8
FLL,Terminal 4,12/30/2017,1000 - 1100,21,37,158,2,8
FLL,Terminal 4,12/30/2017,1100 - 1200,15,48,794,7,8
FLL,Terminal 4,12/30/2017,1200 - 1300,33,93,1017,7,10
FLL,Terminal 4,12/30/2017,1400 - 1500,13,35,488,4,9
FLL,Terminal 4,12/30/2017,1500 - 1600,14,27,218,3,10
FLL,Terminal 4,12/30/2017,1600 - 1700,16,40,608,4,14
FLL,Terminal 4,12/30/2017,1700 - 1800,14,34,467,5,13
FLL,Terminal 4,12/30/2017,1800 - 1900,11,43,1165,6,14
FLL,Terminal 4,12/30/2017,1900 - 2000,16,43,431,4,13
FLL,Terminal 4,12/30/2017,2000 - 2100,26,98,757,4,9
FLL,Terminal 4,12/30/2017,2100 - 2200,29,85,372,4,6
FLL,Terminal 1,12/31/2017,0900 - 1000,8,27,18,1,2
FLL,Terminal 1,12/31/2017,1000 - 1100,33,48,59,1,4
FLL,Terminal 1,12/31/2017,1100 - 1200,11,34,155,3,3
FLL,Terminal 1,12/31/2017,1200 - 1300,10,17,60,2,2
FLL,Terminal 1,12/31/2017,1300 - 1400,14,40,290,3,4
FLL,Terminal 1,12/31/2017,1400 - 1500,8,24,182,4,4
FLL,Terminal 1,12/31/2017,1500 - 1600,18,49,233,2,4
FLL,Terminal 1,12/31/2017,1600 - 1700,6,35,404,6,5
FLL,Terminal 1,12/31/2017,1700 - 1800,14,39,228,5,3
FLL,Terminal 1,12/31/2017,1800 - 1900,18,53,265,2,3
FLL,Terminal 1,12/31/2017,1900 - 2000,3,13,46,1,3
FLL,Terminal 4,12/31/2017,0000 - 0100,0,1,6,1,1
FLL,Terminal 4,12/31/2017,0200 - 0300,0,0,10,1,0
FLL,Terminal 4,12/31/2017,0400 - 0500,38,91,392,2,9
FLL,Terminal 4,12/31/2017,0500 - 0600,49,156,1027,6,13
FLL,Terminal 4,12/31/2017,0600 - 0700,53,118,304,2,9
FLL,Terminal 4,12/31/2017,0700 - 0800,35,75,94,1,5
FLL,Terminal 4,12/31/2017,0800 - 0900,42,63,156,1,7
FLL,Terminal 4,12/31/2017,1000 - 1100,26,82,307,4,3
FLL,Terminal 4,12/31/2017,1100 - 1200,22,84,1076,7,9
FLL,Terminal 4,12/31/2017,1200 - 1300,42,84,380,3,9
FLL,Terminal 4,12/31/2017,1400 - 1500,11,28,427,4,11
FLL,Terminal 4,12/31/2017,1500 - 1600,7,18,121,2,7
FLL,Terminal 4,12/31/2017,1600 - 1700,18,59,924,6,15
FLL,Terminal 4,12/31/2017,1700 - 1800,27,73,885,4,13
FLL,Terminal 4,12/31/2017,1800 - 1900,37,90,1263,9,14
FLL,Terminal 4,12/31/2017,1900 - 2000,25,54,353,2,9
FLL,Terminal 4,12/31/2017,2000 - 2100,23,36,131,1,7
FLL,Terminal 4,12/31/2017,2100 - 2200,12,37,330,4,5
FLL,Terminal 1,1/1/2018,0900 - 1000,2,11,51,1,2
FLL,Terminal 1,1/1/2018,1100 - 1200,16,57,477,6,6
FLL,Terminal 1,1/1/2018,1200 - 1300,11,16,32,1,2
FLL,Terminal 1,1/1/2018,1300 - 1400,22,70,316,4,6
FLL,Terminal 1,1/1/2018,1400 - 1500,21,40,205,2,5
FLL,Terminal 1,1/1/2018,1500 - 1600,9,26,131,2,5
FLL,Terminal 1,1/1/2018,1600 - 1700,12,44,627,5,5
FLL,Terminal 1,1/1/2018,1700 - 1800,18,38,124,4,4
FLL,Terminal 1,1/1/2018,1800 - 1900,14,37,309,3,5
FLL,Terminal 1,1/1/2018,1900 - 2000,4,25,143,1,4
FLL,Terminal 4,1/1/2018,0400 - 0500,24,46,223,2,10
FLL,Terminal 4,1/1/2018,0500 - 0600,31,89,1007,6,12
FLL,Terminal 4,1/1/2018,0700 - 0800,17,43,201,2,10
FLL,Terminal 4,1/1/2018,0800 - 0900,6,16,141,1,10
FLL,Terminal 4,1/1/2018,0900 - 1000,2,7,8,1,1
FLL,Terminal 4,1/1/2018,1000 - 1100,7,19,155,5,7
FLL,Terminal 4,1/1/2018,1100 - 1200,7,20,284,6,8
FLL,Terminal 4,1/1/2018,1200 - 1300,19,62,700,7,9
FLL,Terminal 4,1/1/2018,1300 - 1400,0,1,15,2,1
FLL,Terminal 4,1/1/2018,1400 - 1500,18,47,579,7,12
FLL,Terminal 4,1/1/2018,1500 - 1600,15,92,309,7,9
FLL,Terminal 4,1/1/2018,1600 - 1700,23,68,885,9,13
FLL,Terminal 4,1/1/2018,1700 - 1800,18,59,783,10,14
FLL,Terminal 4,1/1/2018,1800 - 1900,22,43,549,5,14
FLL,Terminal 4,1/1/2018,1900 - 2000,62,142,866,6,16
FLL,Terminal 4,1/1/2018,2000 - 2100,39,76,135,2,9
FLL,Terminal 4,1/1/2018,2100 - 2200,27,50,416,2,17
FLL,Terminal 4,1/1/2018,2200 - 2300,5,16,113,1,14
FLL,Terminal 4,1/1/2018,2300 - 0000,3,11,67,1,6
FLL,Terminal 1,1/2/2018,0900 - 1000,11,40,112,1,4
FLL,Terminal 1,1/2/2018,1100 - 1200,31,101,384,3,6
FLL,Terminal 1,1/2/2018,1200 - 1300,2,4,28,1,0
FLL,Terminal 1,1/2/2018,1300 - 1400,12,48,176,2,3
FLL,Terminal 1,1/2/2018,1400 - 1500,13,51,282,3,6
FLL,Terminal 1,1/2/2018,1500 - 1600,35,71,308,2,6
FLL,Terminal 1,1/2/2018,1600 - 1700,16,44,309,4,8
FLL,Terminal 1,1/2/2018,1700 - 1800,10,31,192,2,5
FLL,Terminal 1,1/2/2018,1800 - 1900,16,48,527,5,5
FLL,Terminal 1,1/2/2018,1900 - 2000,6,29,119,2,4
FLL,Terminal 4,1/2/2018,0400 - 0500,31,85,462,3,9
FLL,Terminal 4,1/2/2018,0500 - 0600,45,129,880,4,10
FLL,Terminal 4,1/2/2018,0600 - 0700,29,88,171,1,8
FLL,Terminal 4,1/2/2018,0700 - 0800,29,76,286,2,8
FLL,Terminal 4,1/2/2018,1000 - 1100,5,14,121,1,5
FLL,Terminal 4,1/2/2018,1100 - 1200,16,69,522,3,7
FLL,Terminal 4,1/2/2018,1200 - 1300,31,103,844,6,13
FLL,Terminal 4,1/2/2018,1300 - 1400,1,7,16,2,2
FLL,Terminal 4,1/2/2018,1400 - 1500,11,23,438,6,12
FLL,Terminal 4,1/2/2018,1500 - 1600,27,46,286,5,10
FLL,Terminal 4,1/2/2018,1600 - 1700,29,63,388,3,12
FLL,Terminal 4,1/2/2018,1700 - 1800,13,41,640,6,12
FLL,Terminal 4,1/2/2018,1800 - 1900,26,76,888,6,12
FLL,Terminal 4,1/2/2018,1900 - 2000,29,90,737,6,11
FLL,Terminal 4,1/2/2018,2000 - 2100,37,108,537,4,11
FLL,Terminal 4,1/2/2018,2100 - 2200,36,91,467,4,10
FLL,Terminal 4,1/2/2018,2200 - 2300,25,70,104,2,7
FLL,Terminal 4,1/2/2018,2300 - 0000,44,109,384,3,11
FLL,Terminal 1,1/3/2018,0900 - 1000,15,31,71,1,2
FLL,Terminal 1,1/3/2018,1100 - 1200,34,84,213,3,4
FLL,Terminal 1,1/3/2018,1200 - 1300,23,66,287,4,5
FLL,Terminal 1,1/3/2018,1300 - 1400,13,42,143,1,4
FLL,Terminal 1,1/3/2018,1400 - 1500,13,34,208,3,4
FLL,Terminal 1,1/3/2018,1500 - 1600,9,33,175,2,4
FLL,Terminal 1,1/3/2018,1600 - 1700,12,48,401,4,6
FLL,Terminal 1,1/3/2018,1700 - 1800,23,88,381,5,6
FLL,Terminal 1,1/3/2018,1800 - 1900,17,62,138,1,3
FLL,Terminal 1,1/3/2018,1900 - 2000,11,55,343,4,5
FLL,Terminal 4,1/3/2018,0400 - 0500,18,36,145,2,13
FLL,Terminal 4,1/3/2018,0500 - 0600,44,128,1400,7,14
FLL,Terminal 4,1/3/2018,0700 - 0800,24,48,299,2,8
FLL,Terminal 4,1/3/2018,0800 - 0900,37,49,159,1,6
FLL,Terminal 4,1/3/2018,1000 - 1100,18,43,161,4,3
FLL,Terminal 4,1/3/2018,1100 - 1200,17,39,276,3,5
FLL,Terminal 4,1/3/2018,1200 - 1300,29,85,622,5,8
FLL,Terminal 4,1/3/2018,1300 - 1400,28,73,405,3,10
FLL,Terminal 4,1/3/2018,1400 - 1500,10,31,438,5,9
FLL,Terminal 4,1/3/2018,1500 - 1600,15,38,250,5,10
FLL,Terminal 4,1/3/2018,1600 - 1700,12,36,676,6,14
FLL,Terminal 4,1/3/2018,1700 - 1800,18,37,554,6,12
FLL,Terminal 4,1/3/2018,1800 - 1900,21,58,846,5,13
FLL,Terminal 4,1/3/2018,1900 - 2000,24,126,895,6,12
FLL,Terminal 4,1/3/2018,2000 - 2100,40,124,706,3,9
FLL,Terminal 4,1/3/2018,2100 - 2200,46,104,384,3,9
FLL,Terminal 4,1/3/2018,2300 - 0000,8,25,91,1,4
FLL,Terminal 1,1/4/2018,0900 - 1000,3,15,38,1,2
FLL,Terminal 1,1/4/2018,1200 - 1300,14,57,303,4,7
FLL,Terminal 1,1/4/2018,1300 - 1400,6,29,141,1,5
FLL,Terminal 1,1/4/2018,1400 - 1500,11,33,278,3,6
FLL,Terminal 1,1/4/2018,1500 - 1600,11,33,229,3,3
FLL,Terminal 1,1/4/2018,1600 - 1700,18,64,515,5,6
FLL,Terminal 1,1/4/2018,1700 - 1800,20,59,217,3,4
FLL,Terminal 1,1/4/2018,1800 - 1900,10,48,288,2,5
FLL,Terminal 1,1/4/2018,1900 - 2000,24,54,171,1,6
FLL,Terminal 4,1/4/2018,0100 - 0200,0,0,6,1,1
FLL,Terminal 4,1/4/2018,0500 - 0600,41,106,1147,6,14
FLL,Terminal 4,1/4/2018,0600 - 0700,34,85,278,2,14
FLL,Terminal 4,1/4/2018,0800 - 0900,12,24,156,1,10
FLL,Terminal 4,1/4/2018,1000 - 1100,5,14,149,4,5
FLL,Terminal 4,1/4/2018,1100 - 1200,16,52,453,5,8
FLL,Terminal 4,1/4/2018,1200 - 1300,16,44,547,5,9
FLL,Terminal 4,1/4/2018,1300 - 1400,9,22,170,4,7
FLL,Terminal 4,1/4/2018,1400 - 1500,11,43,402,5,8
FLL,Terminal 4,1/4/2018,1500 - 1600,26,75,487,4,13
FLL,Terminal 4,1/4/2018,1600 - 1700,31,108,725,7,13
FLL,Terminal 4,1/4/2018,1700 - 1800,36,128,491,5,12
FLL,Terminal 4,1/4/2018,1800 - 1900,44,194,1303,7,12
FLL,Terminal 4,1/4/2018,1900 - 2000,75,165,400,2,10
FLL,Terminal 4,1/4/2018,2000 - 2100,41,144,373,3,13
FLL,Terminal 4,1/4/2018,2100 - 2200,68,162,689,4,14
FLL,Terminal 4,1/4/2018,2200 - 2300,18,60,162,3,11
FLL,Terminal 1,1/5/2018,0900 - 1000,4,20,79,1,2
FLL,Terminal 1,1/5/2018,1000 - 1100,20,56,155,1,4
FLL,Terminal 1,1/5/2018,1100 - 1200,18,23,32,1,1
FLL,Terminal 1,1/5/2018,1200 - 1300,23,61,295,3,4
FLL,Terminal 1,1/5/2018,1300 - 1400,17,55,144,1,4
FLL,Terminal 1,1/5/2018,1400 - 1500,18,50,220,2,4
FLL,Terminal 1,1/5/2018,1500 - 1600,22,61,172,2,5
FLL,Terminal 1,1/5/2018,1600 - 1700,24,55,261,2,7
FLL,Terminal 1,1/5/2018,1700 - 1800,15,46,276,4,5
FLL,Terminal 1,1/5/2018,1800 - 1900,15,59,283,2,3
FLL,Terminal 1,1/5/2018,1900 - 2000,29,117,250,2,5
FLL,Terminal 1,1/5/2018,2000 - 2100,24,88,198,2,2
FLL,Terminal 4,1/5/2018,0500 - 0600,42,154,998,5,13
FLL,Terminal 4,1/5/2018,0600 - 0700,45,124,703,4,13
FLL,Terminal 4,1/5/2018,0700 - 0800,28,72,309,2,10
FLL,Terminal 4,1/5/2018,0800 - 0900,29,41,157,1,6
FLL,Terminal 4,1/5/2018,1000 - 1100,16,25,158,2,7
FLL,Terminal 4,1/5/2018,1100 - 1200,26,108,794,5,8
FLL,Terminal 4,1/5/2018,1200 - 1300,41,107,348,4,9
FLL,Terminal 4,1/5/2018,1300 - 1400,29,65,159,2,10
FLL,Terminal 4,1/5/2018,1400 - 1500,18,54,299,3,12
FLL,Terminal 4,1/5/2018,1500 - 1600,37,81,508,3,13
FLL,Terminal 4,1/5/2018,1600 - 1700,22,79,552,5,12
FLL,Terminal 4,1/5/2018,1700 - 1800,34,108,855,8,13
FLL,Terminal 4,1/5/2018,1800 - 1900,48,118,556,3,11
FLL,Terminal 4,1/5/2018,1900 - 2000,53,137,847,5,11
FLL,Terminal 4,1/5/2018,2000 - 2100,82,177,721,4,12
FLL,Terminal 4,1/5/2018,2200 - 2300,32,85,386,2,11
FLL,Terminal 4,1/5/2018,2300 - 0000,29,64,129,1,4
FLL,Terminal 1,1/6/2018,0900 - 1000,4,24,74,1,2
FLL,Terminal 1,1/6/2018,1100 - 1200,31,65,240,3,4
FLL,Terminal 1,1/6/2018,1200 - 1300,7,22,124,1,3
FLL,Terminal 1,1/6/2018,1300 - 1400,5,22,146,1,3
FLL,Terminal 1,1/6/2018,1400 - 1500,19,46,327,4,4
FLL,Terminal 1,1/6/2018,1500 - 1600,2,9,32,1,1
FLL,Terminal 1,1/6/2018,1600 - 1700,25,104,745,6,4
FLL,Terminal 1,1/6/2018,1700 - 1800,34,114,203,3,4
FLL,Terminal 1,1/6/2018,1800 - 1900,26,94,418,3,4
FLL,Terminal 4,1/6/2018,0400 - 0500,26,82,187,1,8
FLL,Terminal 4,1/6/2018,0500 - 0600,44,154,900,4,9
FLL,Terminal 4,1/6/2018,0600 - 0700,52,147,505,3,9
FLL,Terminal 4,1/6/2018,0700 - 0800,30,120,153,1,9
FLL,Terminal 4,1/6/2018,0800 - 0900,36,47,161,1,7
FLL,Terminal 4,1/6/2018,0900 - 1000,0,0,7,1,0
FLL,Terminal 4,1/6/2018,1000 - 1100,38,91,417,2,11
FLL,Terminal 4,1/6/2018,1100 - 1200,16,60,647,4,10
FLL,Terminal 4,1/6/2018,1200 - 1300,31,96,444,3,9
FLL,Terminal 4,1/6/2018,1300 - 1400,26,80,553,3,10
FLL,Terminal 4,1/6/2018,1400 - 1500,35,111,520,5,10
FLL,Terminal 4,1/6/2018,1500 - 1600,13,47,301,3,11
FLL,Terminal 4,1/6/2018,1600 - 1700,21,62,462,4,12
FLL,Terminal 4,1/6/2018,1700 - 1800,10,47,316,5,11
FLL,Terminal 4,1/6/2018,1800 - 1900,24,73,793,4,10
FLL,Terminal 4,1/6/2018,1900 - 2000,14,40,539,3,10
FLL,Terminal 4,1/6/2018,2000 - 2100,18,58,283,1,10
FLL,Terminal 4,1/6/2018,2100 - 2200,39,114,593,3,11
FLL,Terminal 4,1/6/2018,2200 - 2300,10,40,104,1,7
FLL,Terminal 4,1/6/2018,2300 - 0000,45,108,470,2,6
FLL,Terminal 1,1/7/2018,0900 - 1000,6,31,106,1,4
FLL,Terminal 1,1/7/2018,1000 - 1100,20,54,171,1,3
FLL,Terminal 1,1/7/2018,1100 - 1200,18,54,270,3,4
FLL,Terminal 1,1/7/2018,1200 - 1300,2,9,32,1,2
FLL,Terminal 1,1/7/2018,1300 - 1400,30,88,361,3,3
FLL,Terminal 1,1/7/2018,1400 - 1500,15,49,123,2,3
FLL,Terminal 1,1/7/2018,1500 - 1600,12,32,270,2,4
FLL,Terminal 1,1/7/2018,1600 - 1700,28,95,519,5,6
FLL,Terminal 1,1/7/2018,1700 - 1800,21,56,22,1,3
FLL,Terminal 1,1/7/2018,1800 - 1900,18,83,420,3,5
FLL,Terminal 1,1/7/2018,1900 - 2000,22,60,99,1,4
FLL,Terminal 4,1/7/2018,0500 - 0600,24,68,974,5,13
FLL,Terminal 4,1/7/2018,0600 - 0700,12,27,152,1,11
FLL,Terminal 4,1/7/2018,0700 - 0800,24,45,156,1,7
FLL,Terminal 4,1/7/2018,0800 - 0900,26,98,574,3,6
FLL,Terminal 4,1/7/2018,1000 - 1100,4,7,8,1,1
FLL,Terminal 4,1/7/2018,1100 - 1200,11,63,799,5,9
FLL,Terminal 4,1/7/2018,1200 - 1300,30,100,746,7,9
FLL,Terminal 4,1/7/2018,1300 - 1400,23,50,160,2,10
FLL,Terminal 4,1/7/2018,1400 - 1500,12,44,630,6,11
FLL,Terminal 4,1/7/2018,1500 - 1600,10,41,523,4,13
FLL,Terminal 4,1/7/2018,1600 - 1700,22,50,865,6,13
FLL,Terminal 4,1/7/2018,1700 - 1800,38,92,1000,8,14
FLL,Terminal 4,1/7/2018,1800 - 1900,39,133,1133,6,13
FLL,Terminal 4,1/7/2018,1900 - 2000,35,103,458,3,10
FLL,Terminal 4,1/7/2018,2000 - 2100,25,72,261,3,7
FLL,Terminal 4,1/7/2018,2100 - 2200,37,75,526,4,9
FLL,Terminal 4,1/7/2018,2300 - 0000,13,42,323,2,7
FAT,Main,12/14/2017,2100 - 2200,25,47,139,1,4
FAT,Main,12/14/2017,2300 - 0000,30,60,134,1,4
FAT,Main,12/15/2017,0000 - 0100,17,39,92,1,3
FAT,Main,12/15/2017,2100 - 2200,25,59,166,1,4
FAT,Main,12/15/2017,2300 - 0000,27,55,122,1,3
FAT,Main,12/16/2017,1900 - 2000,19,39,65,1,4
FAT,Main,12/16/2017,2100 - 2200,17,41,150,1,4
FAT,Main,12/16/2017,2300 - 0000,25,58,120,1,4
FAT,Main,12/17/2017,0000 - 0100,47,66,83,1,3
FAT,Main,12/17/2017,2200 - 2300,13,32,130,1,4
FAT,Main,12/17/2017,2300 - 0000,41,63,91,1,4
FAT,Main,12/18/2017,0000 - 0100,14,28,67,1,3
FAT,Main,12/18/2017,1900 - 2000,15,32,57,1,4
FAT,Main,12/18/2017,2100 - 2200,17,39,146,1,4
FAT,Main,12/18/2017,2300 - 0000,12,29,108,1,4
FAT,Main,12/19/2017,0000 - 0100,11,26,66,1,3
FAT,Main,12/19/2017,2200 - 2300,18,38,127,1,4
FAT,Main,12/19/2017,2300 - 0000,45,65,133,1,4
FAT,Main,12/20/2017,2100 - 2200,22,44,155,1,4
FAT,Main,12/20/2017,2300 - 0000,17,42,99,1,3
FAT,Main,12/21/2017,0000 - 0100,24,46,110,1,3
FAT,Main,12/21/2017,2100 - 2200,15,40,169,1,4
FAT,Main,12/21/2017,2300 - 0000,12,28,123,1,4
FAT,Main,12/22/2017,0000 - 0100,18,38,104,1,3
FAT,Main,12/22/2017,2100 - 2200,20,44,165,1,4
FAT,Main,12/22/2017,2300 - 0000,14,33,123,1,4
FAT,Main,12/23/2017,1900 - 2000,14,29,92,1,4
FAT,Main,12/23/2017,2100 - 2200,16,34,147,1,4
FAT,Main,12/23/2017,2300 - 0000,14,30,128,1,4
FAT,Main,12/24/2017,0000 - 0100,13,27,121,1,4
FAT,Main,12/24/2017,2100 - 2200,3,11,78,1,4
FAT,Main,12/24/2017,2300 - 0000,7,17,65,1,4
FAT,Main,12/25/2017,1900 - 2000,15,27,76,1,4
FAT,Main,12/25/2017,2000 - 2100,9,26,129,1,4
FAT,Main,12/25/2017,2300 - 0000,8,20,107,1,4
FAT,Main,12/26/2017,0000 - 0100,8,18,69,1,4
FAT,Main,12/26/2017,2100 - 2200,24,47,128,1,3
FAT,Main,12/26/2017,2300 - 0000,22,45,139,1,3
FAT,Main,12/27/2017,2100 - 2200,24,52,177,1,3
FAT,Main,12/27/2017,2200 - 2300,15,34,128,1,3
FAT,Main,12/28/2017,0000 - 0100,17,38,117,1,3
FAT,Main,12/28/2017,2100 - 2200,20,39,179,1,4
FAT,Main,12/28/2017,2200 - 2300,15,30,149,1,4
FAT,Main,12/29/2017,0000 - 0100,12,27,137,1,4
FAT,Main,12/29/2017,2100 - 2200,14,34,178,1,3
FAT,Main,12/29/2017,2200 - 2300,18,37,158,1,3
FAT,Main,12/30/2017,1900 - 2000,19,35,167,1,4
FAT,Main,12/30/2017,2100 - 2200,23,41,171,1,4
FAT,Main,12/30/2017,2200 - 2300,9,22,144,1,4
FAT,Main,12/31/2017,0000 - 0100,12,29,159,1,4
FAT,Main,12/31/2017,2100 - 2200,17,39,183,1,3
FAT,Main,12/31/2017,2300 - 0000,19,39,162,1,3
FAT,Main,1/1/2018,1900 - 2000,18,37,155,1,3
FAT,Main,1/1/2018,2100 - 2200,17,35,174,1,3
FAT,Main,1/1/2018,2300 - 0000,17,36,172,1,3
FAT,Main,1/2/2018,0000 - 0100,17,33,175,1,3
FAT,Main,1/2/2018,2100 - 2200,10,25,185,1,4
FAT,Main,1/2/2018,2300 - 0000,15,37,183,1,4
FAT,Main,1/3/2018,2100 - 2200,17,32,182,1,4
FAT,Main,1/3/2018,2300 - 0000,14,30,166,1,4
FAT,Main,1/4/2018,0100 - 0200,20,45,183,1,3
FAT,Main,1/4/2018,2100 - 2200,16,39,171,1,3
FAT,Main,1/4/2018,2300 - 0000,47,69,176,1,3
FAT,Main,1/5/2018,0100 - 0200,22,42,184,1,3
FAT,Main,1/5/2018,2100 - 2200,16,37,183,1,3
FAT,Main,1/5/2018,2300 - 0000,14,34,177,1,3
FAT,Main,1/6/2018,1900 - 2000,18,35,177,1,4
FAT,Main,1/6/2018,2100 - 2200,10,25,180,1,4
FAT,Main,1/6/2018,2300 - 0000,16,33,183,1,4
FAT,Main,1/7/2018,2100 - 2200,13,28,184,1,4
FAT,Main,1/7/2018,2300 - 0000,9,24,169,1,4
HNL,Main Overseas Terminal,12/14/2017,0600 - 0700,13,39,813,3,17
HNL,Main Overseas Terminal,12/14/2017,0700 - 0800,14,60,574,3,21
HNL,Main Overseas Terminal,12/14/2017,0800 - 0900,25,59,1638,7,40
HNL,Main Overseas Terminal,12/14/2017,0900 - 1000,26,53,1551,7,42
HNL,Main Overseas Terminal,12/14/2017,1000 - 1100,11,49,1115,5,38
HNL,Main Overseas Terminal,12/14/2017,1100 - 1200,10,29,1325,5,32
HNL,Main Overseas Terminal,12/14/2017,1500 - 1600,13,30,187,1,16
HNL,Main Overseas Terminal,12/14/2017,1600 - 1700,5,18,165,1,9
HNL,Main Overseas Terminal,12/14/2017,2300 - 0000,9,33,109,1,3
HNL,Main Overseas Terminal,12/15/2017,0300 - 0400,13,31,162,1,4
HNL,Main Overseas Terminal,12/15/2017,0600 - 0700,14,41,769,3,17
HNL,Main Overseas Terminal,12/15/2017,0700 - 0800,15,48,906,4,30
HNL,Main Overseas Terminal,12/15/2017,0800 - 0900,12,42,1170,6,38
HNL,Main Overseas Terminal,12/15/2017,0900 - 1000,9,32,1954,9,43
HNL,Main Overseas Terminal,12/15/2017,1000 - 1100,8,37,1454,6,41
HNL,Main Overseas Terminal,12/15/2017,1100 - 1200,8,22,637,2,31
HNL,Main Overseas Terminal,12/16/2017,0500 - 0600,10,27,243,1,11
HNL,Main Overseas Terminal,12/16/2017,0600 - 0700,17,37,781,3,23
HNL,Main Overseas Terminal,12/16/2017,0700 - 0800,21,52,823,5,28
HNL,Main Overseas Terminal,12/16/2017,0800 - 0900,24,51,1518,7,42
HNL,Main Overseas Terminal,12/16/2017,0900 - 1000,21,50,1758,8,39
HNL,Main Overseas Terminal,12/16/2017,1000 - 1100,14,42,1411,6,37
HNL,Main Overseas Terminal,12/16/2017,1100 - 1200,5,16,433,2,31
HNL,Main Overseas Terminal,12/16/2017,1200 - 1300,2,11,146,1,28
HNL,Main Overseas Terminal,12/16/2017,1600 - 1700,25,68,418,2,8
HNL,Main Overseas Terminal,12/17/2017,0100 - 0200,17,30,96,1,4
HNL,Main Overseas Terminal,12/17/2017,0500 - 0600,11,31,580,2,22
HNL,Main Overseas Terminal,12/17/2017,0600 - 0700,7,21,228,1,22
HNL,Main Overseas Terminal,12/17/2017,0700 - 0800,12,34,1044,5,35
HNL,Main Overseas Terminal,12/17/2017,0800 - 0900,25,59,2378,11,41
HNL,Main Overseas Terminal,12/17/2017,0900 - 1000,35,70,2051,9,48
HNL,Main Overseas Terminal,12/17/2017,1000 - 1100,12,28,851,3,38
HNL,Main Overseas Terminal,12/17/2017,1400 - 1500,3,18,266,1,15
HNL,Main Overseas Terminal,12/18/2017,0200 - 0300,9,28,160,1,4
HNL,Main Overseas Terminal,12/18/2017,0600 - 0700,14,32,706,3,22
HNL,Main Overseas Terminal,12/18/2017,0700 - 0800,7,23,658,4,30
HNL,Main Overseas Terminal,12/18/2017,0800 - 0900,18,70,1541,8,37
HNL,Main Overseas Terminal,12/18/2017,0900 - 1000,25,59,1301,6,36
HNL,Main Overseas Terminal,12/18/2017,1000 - 1100,10,28,1222,5,33
HNL,Main Overseas Terminal,12/18/2017,1100 - 1200,4,17,314,2,23
HNL,Main Overseas Terminal,12/18/2017,1200 - 1300,16,29,249,1,22
HNL,Main Overseas Terminal,12/18/2017,1500 - 1600,29,67,159,1,5
HNL,Main Overseas Terminal,12/19/2017,0600 - 0700,21,47,462,2,16
HNL,Main Overseas Terminal,12/19/2017,0700 - 0800,25,57,1497,7,27
HNL,Main Overseas Terminal,12/19/2017,0800 - 0900,16,57,1307,6,39
HNL,Main Overseas Terminal,12/19/2017,0900 - 1000,16,46,1445,8,43
HNL,Main Overseas Terminal,12/19/2017,1000 - 1100,11,29,573,3,32
HNL,Main Overseas Terminal,12/19/2017,1100 - 1200,3,30,362,2,28
HNL,Main Overseas Terminal,12/19/2017,1500 - 1600,21,39,162,1,9
HNL,Main Overseas Terminal,12/19/2017,1900 - 2000,20,48,249,2,5
HNL,Main Overseas Terminal,12/20/2017,0200 - 0300,19,53,161,1,4
HNL,Main Overseas Terminal,12/20/2017,0600 - 0700,5,17,268,1,14
HNL,Main Overseas Terminal,12/20/2017,0700 - 0800,13,37,1108,6,24
HNL,Main Overseas Terminal,12/20/2017,0800 - 0900,14,49,1256,5,40
HNL,Main Overseas Terminal,12/20/2017,0900 - 1000,33,87,2429,10,39
HNL,Main Overseas Terminal,12/20/2017,1000 - 1100,24,50,1102,4,35
HNL,Main Overseas Terminal,12/20/2017,1100 - 1200,5,16,347,1,26
HNL,Main Overseas Terminal,12/20/2017,1200 - 1300,5,19,319,1,23
HNL,Main Overseas Terminal,12/20/2017,1400 - 1500,13,30,304,1,19
HNL,Main Overseas Terminal,12/21/2017,0300 - 0400,17,54,268,1,4
HNL,Main Overseas Terminal,12/21/2017,0600 - 0700,13,35,856,3,19
HNL,Main Overseas Terminal,12/21/2017,0700 - 0800,19,58,1459,6,31
HNL,Main Overseas Terminal,12/21/2017,0800 - 0900,33,76,2283,9,38
HNL,Main Overseas Terminal,12/21/2017,0900 - 1000,40,70,1518,6,42
HNL,Main Overseas Terminal,12/21/2017,1000 - 1100,19,45,500,2,32
HNL,Main Overseas Terminal,12/21/2017,1100 - 1200,7,22,898,3,28
